task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,49,89,1.6125,62.4422,62.4422,64.5959,88.0311,62.4422,75.8754,62.4422,62.4422,58.3571,65.3595,79.4577,4.026973
1,50,90,1.625,60.5309,60.5309,62.889,86.9334,60.5309,73.9492,60.5309,60.5309,55.8378,63.205,79.5986,4.028094
1,51,91,1.6375,60.7253,60.7253,62.7866,86.9066,60.7253,74.0615,60.7253,60.7253,55.8451,63.349,79.2871,4.041935
1,52,92,1.65,62.3158,62.3158,64.5429,88.0923,62.3158,75.8854,62.3158,62.3158,58.1367,64.7793,81.3123,4.113536
1,53,93,1.6625,62.2328,62.2328,64.6479,88.2169,62.2328,75.8158,62.2328,62.2328,58.1949,64.9792,80.5919,4.085821
1,54,94,1.675,62.7512,62.7512,64.7855,88.1066,62.7512,76.1099,62.7512,62.7512,58.6573,65.5343,79.8206,4.077818
1,55,95,1.6875,62.2903,62.2903,64.3715,87.9724,62.2903,75.8538,62.2903,62.2903,58.0311,64.9651,80.6177,4.093904
1,56,96,1.7,61.053,61.053,62.7649,86.9598,61.053,74.2443,61.053,61.053,55.9191,63.5265,79.6499,4.090225
1,57,97,1.7125,62.7485,62.7485,64.8132,88.2741,62.7485,76.244,62.7485,62.7485,58.589,65.3643,80.5824,4.096936
1,58,98,1.725,62.8126,62.8126,64.7558,88.2323,62.8126,76.2477,62.8126,62.8126,58.5154,65.2299,81.2236,4.155755
1,59,99,1.7375,63.1321,63.1321,64.7159,88.243,63.1321,76.4311,63.1321,63.1321,58.6808,65.6133,80.3463,4.134367
1,60,100,1.75,63.019,63.019,65.0052,88.2506,63.019,76.3074,63.019,63.019,58.9472,65.7592,79.8291,4.10763
1,61,101,1.7625,62.9246,62.9246,64.5664,87.4989,62.9246,76.3561,62.9246,62.9246,58.768,65.5492,80.0815,4.129665
1,62,102,1.775,62.805,62.805,64.7816,87.9227,62.805,76.2014,62.805,62.805,58.7422,65.4687,80.2322,4.141576
